Sample	Unique Reads	Duplicate Reads
P_ROT16_1	9301754.0	12308042.0
P_ROT16_2	9515453.0	12094343.0
P_ROT16_sortmerna_1	9246991.0	12204963.0
P_ROT16_sortmerna_2	9464438.0	11987516.0
P_ROT16_sortmerna_trimmomatic_1	8917398.0	11665609.0
P_ROT16_sortmerna_trimmomatic_2	9069313.0	11513694.0
P_ROT17_1	8571414.0	12899603.0
P_ROT17_2	8818822.0	12652195.0
P_ROT17_sortmerna_1	8528461.0	12780435.0
P_ROT17_sortmerna_2	8772799.0	12536097.0
P_ROT17_sortmerna_trimmomatic_1	8198255.0	12284053.0
P_ROT17_sortmerna_trimmomatic_2	8402032.0	12080276.0
P_ROT18_1	9541355.0	12394121.0
P_ROT18_2	9738636.0	12196840.0
P_ROT18_sortmerna_1	9491484.0	12298188.0
P_ROT18_sortmerna_2	9688989.0	12100683.0
P_ROT18_sortmerna_trimmomatic_1	9155297.0	11828830.0
P_ROT18_sortmerna_trimmomatic_2	9320598.0	11663529.0
P_ROT19_1	9432909.0	12355145.0
P_ROT19_2	9733781.0	12054273.0
P_ROT19_sortmerna_1	9384543.0	12266247.0
P_ROT19_sortmerna_2	9679924.0	11970866.0
P_ROT19_sortmerna_trimmomatic_1	9087425.0	11799643.0
P_ROT19_sortmerna_trimmomatic_2	9315563.0	11571505.0
P_ROT20_1	9417070.0	13265231.0
P_ROT20_2	9617311.0	13064990.0
P_ROT20_sortmerna_1	9368441.0	13151053.0
P_ROT20_sortmerna_2	9567823.0	12951671.0
P_ROT20_sortmerna_trimmomatic_1	9067975.0	12695965.0
P_ROT20_sortmerna_trimmomatic_2	9220553.0	12543387.0
P_STA11_1	8730756.0	11575102.0
P_STA11_2	8980669.0	11325189.0
P_STA11_sortmerna_1	8682659.0	11487309.0
P_STA11_sortmerna_2	8928093.0	11241875.0
P_STA11_sortmerna_trimmomatic_1	8396449.0	11020761.0
P_STA11_sortmerna_trimmomatic_2	8560339.0	10856871.0
P_STA12_1	9799524.0	12551540.0
P_STA12_2	10188877.0	12162187.0
P_STA12_sortmerna_1	9755575.0	12446776.0
P_STA12_sortmerna_2	10132353.0	12069998.0
P_STA12_sortmerna_trimmomatic_1	9459363.0	11983211.0
P_STA12_sortmerna_trimmomatic_2	9726526.0	11716048.0
P_STA13_1	9453015.0	12347324.0
P_STA13_2	9712865.0	12087474.0
P_STA13_sortmerna_1	9404986.0	12253060.0
P_STA13_sortmerna_2	9657462.0	12000584.0
P_STA13_sortmerna_trimmomatic_1	9119350.0	11808547.0
P_STA13_sortmerna_trimmomatic_2	9296892.0	11631005.0
P_STA14_1	9488529.0	12154646.0
P_STA14_2	9900591.0	11742584.0
