Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	kmer_content	per_sequence_quality_scores
P_ROT16_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21609796.0	pass	fail	pass	44.0	43.0441528869	P_ROT16_1.fq.gz	fail	pass
P_ROT16_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21609796.0	pass	fail	pass	44.0	44.0330508778	P_ROT16_2.fq.gz	fail	pass
P_ROT16_sortmerna_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21451954.0	pass	fail	pass	44.0	43.1055851577	P_ROT16_sortmerna_1.fq.gz	fail	pass
P_ROT16_sortmerna_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21451954.0	pass	fail	pass	44.0	44.119232604	P_ROT16_sortmerna_2.fq.gz	fail	pass
P_ROT16_sortmerna_trimmomatic_1	pass	0.0	fail	148.53067732	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20583007.0	pass	fail	pass	44.0	43.3240750143	P_ROT16_sortmerna_trimmomatic_1.fq.gz	fail	pass
P_ROT16_sortmerna_trimmomatic_2	pass	0.0	fail	148.652267863	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20583007.0	pass	fail	pass	44.0	44.0621343803	P_ROT16_sortmerna_trimmomatic_2.fq.gz	fail	pass
P_ROT17_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21471017.0	pass	fail	pass	44.0	39.9208559864	P_ROT17_1.fq.gz	fail	pass
P_ROT17_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21471017.0	pass	fail	pass	44.0	41.0731446139	P_ROT17_2.fq.gz	fail	pass
P_ROT17_sortmerna_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21308896.0	pass	fail	pass	43.0	40.0230070268	P_ROT17_sortmerna_1.fq.gz	fail	pass
P_ROT17_sortmerna_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21308896.0	pass	fail	pass	44.0	41.1696545052	P_ROT17_sortmerna_2.fq.gz	fail	pass
P_ROT17_sortmerna_trimmomatic_1	pass	0.0	fail	148.525132812	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20482308.0	pass	fail	pass	43.0	40.0260293475	P_ROT17_sortmerna_trimmomatic_1.fq.gz	fail	pass
P_ROT17_sortmerna_trimmomatic_2	pass	0.0	fail	148.45043376	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20482308.0	pass	fail	pass	44.0	41.0209215982	P_ROT17_sortmerna_trimmomatic_2.fq.gz	fail	pass
P_ROT18_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21935476.0	pass	fail	pass	43.0	43.4973683506	P_ROT18_1.fq.gz	fail	pass
P_ROT18_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21935476.0	pass	fail	pass	44.0	44.3967354996	P_ROT18_2.fq.gz	fail	pass
P_ROT18_sortmerna_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21789672.0	pass	fail	pass	43.0	43.5595520725	P_ROT18_sortmerna_1.fq.gz	fail	pass
P_ROT18_sortmerna_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21789672.0	pass	fail	pass	44.0	44.4659661855	P_ROT18_sortmerna_2.fq.gz	fail	pass
P_ROT18_sortmerna_trimmomatic_1	pass	0.0	fail	148.541313823	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20984127.0	pass	fail	pass	43.0	43.6296293272	P_ROT18_sortmerna_trimmomatic_1.fq.gz	fail	pass
P_ROT18_sortmerna_trimmomatic_2	pass	0.0	fail	148.598663599	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20984127.0	pass	fail	pass	44.0	44.4173710599	P_ROT18_sortmerna_trimmomatic_2.fq.gz	fail	pass
P_ROT19_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21788054.0	pass	fail	pass	43.0	43.2939471021	P_ROT19_1.fq.gz	fail	pass
P_ROT19_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21788054.0	pass	fail	pass	44.0	44.6748494087	P_ROT19_2.fq.gz	fail	pass
P_ROT19_sortmerna_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21650790.0	pass	fail	pass	43.0	43.3450341934	P_ROT19_sortmerna_1.fq.gz	fail	pass
P_ROT19_sortmerna_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21650790.0	pass	fail	pass	44.0	44.7093294554	P_ROT19_sortmerna_2.fq.gz	fail	pass
P_ROT19_sortmerna_trimmomatic_1	pass	0.0	fail	148.548453761	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20887068.0	pass	fail	pass	43.0	43.5074192398	P_ROT19_sortmerna_trimmomatic_1.fq.gz	fail	pass
P_ROT19_sortmerna_trimmomatic_2	pass	0.0	fail	148.453869686	Sanger / Illumina 1.9	pass	warn	50-150	Conventional base calls	pass	pass	20887068.0	pass	fail	pass	44.0	44.5996639257	P_ROT19_sortmerna_trimmomatic_2.fq.gz	fail	pass
P_ROT20_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22682301.0	pass	fail	pass	44.0	41.5172566471	P_ROT20_1.fq.gz	fail	pass
P_ROT20_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22682301.0	pass	fail	pass	44.0	42.4000666217	P_ROT20_2.fq.gz	fail	pass
P_ROT20_sortmerna_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22519494.0	pass	fail	pass	44.0	41.6014690629	P_ROT20_sortmerna_1.fq.gz	fail	pass
