Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct
P_ROT16_1	27.2727272727	150.0	0.518831829787	21609796.0	56.9558471131	44.0	
P_ROT16_2	27.2727272727	150.0		21609796.0	55.9669491222	44.0	
P_ROT16_sortmerna_1	27.2727272727	150.0		21451954.0	56.8944148423	44.0	0.36
P_ROT16_sortmerna_2	27.2727272727	150.0		21451954.0	55.880767396	44.0	
P_ROT16_sortmerna_trimmomatic_1	27.2727272727	148.53067732		20583007.0	56.6759249857	44.0	
P_ROT16_sortmerna_trimmomatic_2	27.2727272727	148.652267863		20583007.0	55.9378656197	44.0	
P_ROT17_1	27.2727272727	150.0	0.545160483083	21471017.0	60.0791440136	44.0	
P_ROT17_2	27.2727272727	150.0		21471017.0	58.9268553861	44.0	
P_ROT17_sortmerna_1	27.2727272727	150.0		21308896.0	59.9769929732	43.0	0.38
P_ROT17_sortmerna_2	27.2727272727	150.0		21308896.0	58.8303454948	44.0	
P_ROT17_sortmerna_trimmomatic_1	27.2727272727	148.525132812		20482308.0	59.9739706525	43.0	
P_ROT17_sortmerna_trimmomatic_2	27.2727272727	148.45043376		20482308.0	58.9790784018	44.0	
P_ROT18_1	27.2727272727	150.0	0.461610680343	21935476.0	56.5026316494	43.0	
P_ROT18_2	27.2727272727	150.0		21935476.0	55.6032645004	44.0	
P_ROT18_sortmerna_1	27.2727272727	150.0		21789672.0	56.4404479275	43.0	0.39
P_ROT18_sortmerna_2	27.2727272727	150.0		21789672.0	55.5340338145	44.0	
P_ROT18_sortmerna_trimmomatic_1	27.2727272727	148.541313823		20984127.0	56.3703706728	43.0	
P_ROT18_sortmerna_trimmomatic_2	27.2727272727	148.598663599		20984127.0	55.5826289401	44.0	
P_ROT19_1	27.2727272727	150.0	0.422740828529	21788054.0	56.7060528979	43.0	
P_ROT19_2	27.2727272727	150.0		21788054.0	55.3251505913	44.0	
P_ROT19_sortmerna_1	27.2727272727	150.0		21650790.0	56.6549658066	43.0	0.35
P_ROT19_sortmerna_2	27.2727272727	150.0		21650790.0	55.2906705446	44.0	
P_ROT19_sortmerna_trimmomatic_1	27.2727272727	148.548453761		20887068.0	56.4925807602	43.0	
P_ROT19_sortmerna_trimmomatic_2	27.2727272727	148.453869686		20887068.0	55.4003360743	44.0	
P_ROT20_1	27.2727272727	150.0	0.500491550659	22682301.0	58.4827433529	44.0	
P_ROT20_2	27.2727272727	150.0		22682301.0	57.5999333783	44.0	
P_ROT20_sortmerna_1	27.2727272727	150.0		22519494.0	58.3985309371	44.0	0.41
P_ROT20_sortmerna_2	27.2727272727	150.0		22519494.0	57.513154013	44.0	
P_ROT20_sortmerna_trimmomatic_1	27.2727272727	148.471999785		21763940.0	58.3348694392	44.0	
P_ROT20_sortmerna_trimmomatic_2	27.2727272727	148.48845811		21763940.0	57.6338092228	44.0	
P_STA11_1	27.2727272727	150.0	0.472080519818	20305858.0	57.0037588217	44.0	
P_STA11_2	27.2727272727	150.0		20305858.0	55.7730139901	44.0	
P_STA11_sortmerna_1	27.2727272727	150.0		20169968.0	56.9525430881	44.0	0.42
P_STA11_sortmerna_2	27.2727272727	150.0		20169968.0	55.7357111608	44.0	
P_STA11_sortmerna_trimmomatic_1	27.2727272727	148.291675117		19417210.0	56.7576978712	44.0	
P_STA11_sortmerna_trimmomatic_2	27.2727272727	148.356424481		19417210.0	55.9136509641	44.0	
P_STA12_1	27.2727272727	150.0	0.461684956027	22351064.0	56.1563437661	44.0	
P_STA12_2	27.2727272727	150.0		22351064.0	54.4143559237	44.0	
P_STA12_sortmerna_1	27.2727272727	150.0		22202351.0	56.0606249075	43.0	0.43
P_STA12_sortmerna_2	27.2727272727	150.0		22202351.0	54.3636043154	44.0	
P_STA12_sortmerna_trimmomatic_1	27.2727272727	148.563096576		21442574.0	55.8851348012	44.0	
P_STA12_sortmerna_trimmomatic_2	27.2727272727	148.212642008		21442574.0	54.6391886238	44.0	
P_STA13_1	27.2727272727	150.0	0.450963170802	21800339.0	56.6382228654	44.0	
P_STA13_2	27.2727272727	150.0		21800339.0	55.4462666198	44.0	
P_STA13_sortmerna_1	27.2727272727	150.0		21658046.0	56.5750981768	44.0	0.38
P_STA13_sortmerna_2	27.2727272727	150.0		21658046.0	55.4093593936	44.0	
P_STA13_sortmerna_trimmomatic_1	27.2727272727	148.606103805		20927897.0	56.4249131513	44.0	
P_STA13_sortmerna_trimmomatic_2	27.2727272727	148.482349039		20927897.0	55.5765631167	44.0	
P_STA14_1	27.2727272727	150.0	0.484245033365	21643175.0	56.1592575431	43.0	
P_STA14_2	27.2727272727	150.0		21643175.0	54.2553713106	44.0	
P_STA14_sortmerna_1	27.2727272727	150.0		21493786.0	56.0962861721	43.0	0.41
P_STA14_sortmerna_2	27.2727272727	150.0		21493786.0	54.2178531307	43.0	
P_STA14_sortmerna_trimmomatic_1	27.2727272727	148.521337708		20733436.0	55.9578589212	43.0	
P_STA14_sortmerna_trimmomatic_2	27.2727272727	148.331822328		20733436.0	54.4543396692	43.0	
P_STA15_1	27.2727272727	150.0	0.496341660569	22651534.0	58.5284797696	44.0	
P_STA15_2	27.2727272727	150.0		22651534.0	56.9842385773	44.0	
P_STA15_sortmerna_1	27.2727272727	150.0		22493428.0	58.4708093996	44.0	0.38
P_STA15_sortmerna_2	27.2727272727	150.0		22493428.0	56.9466793052	44.0	
P_STA15_sortmerna_trimmomatic_1	27.2727272727	148.519980594		21704460.0	58.3136852844	44.0	
P_STA15_sortmerna_trimmomatic_2	27.2727272727	148.410000802		21704460.0	57.0500311962	44.0	
X_ROT10_1	27.2727272727	150.0	0.457871955569	22564933.0	63.5286985009	44.0	
X_ROT10_2	18.1818181818	150.0		22564933.0	63.0572817974	44.0	
