Sample	mapping_type	num_alignments_below_threshold_for_mapped_fragments_vm	num_dovetail_fragments	serialized_eq_classes	index_decoy_name_hash	opt_type	salmon_version	index_name_hash512	gc_bias_correct	index_seq_hash512	index_seq_hash	num_eq_classes	frag_dist_length	num_valid_targets	num_libraries	eq_class_properties	num_fragments_filtered_vm	index_decoy_seq_hash	frag_length_sd	num_mapped	call	samp_type	num_processed	start_time	num_decoy_targets	num_bootstraps	num_bias_bins	num_decoy_fragments	index_name_hash	percent_mapped	quant_errors	seq_bias_correct	end_time	keep_duplicates	library_types	frag_length_mean	length_classes
P_ROT16_sortmerna_trimmomatic	mapping	7085922	756575	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	139349	1001	75195	1	[u'range_factorized', u'gzipped']	1137175	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	54.3137008798	17723495	quant	bootstrap	20583007	Wed Oct 13 14:12:25 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	86.1074137515	[]	True	Wed Oct 13 15:18:54 2021	False	[u'ISR']	253.836149011	[825, 1621, 2352, 3363, 53234430]
P_ROT17_sortmerna_trimmomatic	mapping	7325672	749415	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	135733	1001	75195	1	[u'range_factorized', u'gzipped']	1198708	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	53.0269980563	17601230	quant	bootstrap	20482308	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	85.9338215205	[]	True	Wed Oct 13 14:11:13 2021	False	[u'ISR']	251.552642009	[825, 1621, 2352, 3363, 53234430]
P_ROT18_sortmerna_trimmomatic	mapping	7229581	744311	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	140927	1001	75195	1	[u'range_factorized', u'gzipped']	1173705	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	54.3638277982	18070717	quant	bootstrap	20984127	Wed Oct 13 13:04:19 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	86.1161248214	[]	True	Wed Oct 13 14:10:57 2021	False	[u'ISR']	256.20576699	[825, 1621, 2352, 3363, 53234430]
P_ROT19_sortmerna_trimmomatic	mapping	7250275	749314	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	142070	1001	75195	1	[u'range_factorized', u'gzipped']	1205123	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55.1929022089	17921398	quant	bootstrap	20887068	Wed Oct 13 14:11:16 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	85.8014059226	[]	True	Wed Oct 13 15:18:58 2021	False	[u'ISR']	260.169122343	[825, 1621, 2352, 3363, 53234430]
P_ROT20_sortmerna_trimmomatic	mapping	7590250	735912	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	139895	1001	75195	1	[u'range_factorized', u'gzipped']	1234306	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	54.5228860772	18712157	quant	bootstrap	21763940	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	85.9778008945	[]	True	Wed Oct 13 14:13:24 2021	False	[u'ISR']	260.410896078	[825, 1621, 2352, 3363, 53234430]
P_STA11_sortmerna_trimmomatic	mapping	6736470	772548	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	137089	1001	75195	1	[u'range_factorized', u'gzipped']	1085988	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	51.4999081805	16754214	quant	bootstrap	19417210	Wed Oct 13 14:06:08 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	86.2853829155	[]	True	Wed Oct 13 15:13:34 2021	False	[u'ISR']	250.30235494	[825, 1621, 2352, 3363, 53234430]
P_STA12_sortmerna_trimmomatic	mapping	7438528	780992	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	142392	1001	75195	1	[u'range_factorized', u'gzipped']	1215239	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	52.2862674157	18312673	quant	bootstrap	21442574	Wed Oct 13 13:04:24 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	85.4033335737	[]	True	Wed Oct 13 14:15:09 2021	False	[u'ISR']	256.341314779	[825, 1621, 2352, 3363, 53234430]
P_STA13_sortmerna_trimmomatic	mapping	7292295	797770	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	141329	1001	75195	1	[u'range_factorized', u'gzipped']	1185125	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	53.7724274619	17896849	quant	bootstrap	20927897	Wed Oct 13 14:03:06 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	85.5167100641	[]	True	Wed Oct 13 15:14:50 2021	False	[u'ISR']	257.115072159	[825, 1621, 2352, 3363, 53234430]
P_STA14_sortmerna_trimmomatic	mapping	7155433	783611	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	141983	1001	75195	1	[u'range_factorized', u'gzipped']	1171103	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	53.9324350009	17846284	quant	bootstrap	20733436	Wed Oct 13 14:13:27 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	86.0748985359	[]	True	Wed Oct 13 15:25:19 2021	False	[u'ISR']	257.080610313	[825, 1621, 2352, 3363, 53234430]
P_STA15_sortmerna_trimmomatic	mapping	7541088	741997	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	138932	1001	75195	1	[u'range_factorized', u'gzipped']	1210622	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	52.2017873448	18710915	quant	bootstrap	21704460	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	86.2076964827	[]	True	Wed Oct 13 14:12:22 2021	False	[u'ISR']	253.27005163	[825, 1621, 2352, 3363, 53234430]
X_ROT10_sortmerna_trimmomatic	mapping	6822925	604458	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	121605	1001	75195	1	[u'range_factorized', u'gzipped']	1020686	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	51.0955434785	19005648	quant	bootstrap	21653036	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.7735944281	[]	True	Wed Oct 13 14:01:22 2021	False	[u'ISR']	252.935063846	[825, 1621, 2352, 3363, 53234430]
X_ROT6_sortmerna_trimmomatic	mapping	6393512	607509	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	119284	1001	75195	1	[u'range_factorized', u'gzipped']	939868	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	48.6586307514	18167426	quant	bootstrap	20640074	Wed Oct 13 14:11:00 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	88.02015923	[]	True	Wed Oct 13 15:09:37 2021	False	[u'ISR']	245.529887784	[825, 1621, 2352, 3363, 53234430]
X_ROT7_sortmerna_trimmomatic	mapping	6411752	577925	False	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	vb	1.5.1	94aa5f79ff6242c0904e659d7e1e7a53cf8547db580e1371b48019adda3a39d897c1d6b6b0eae35b3f3679f25a2acba6829f13d7b6c7f54aab849c77ed1b722c	True	90eb9bd785f47f73ea7141e2a85480fb418e963c22d205c0affe56dcf41ddb5aa809dd52b31b51787bc1b58a151cfa2625fb745d5aa25388fd8300f4ad918ba1	97d48431e5be5fa4d443a4ccb9cd138a99a993bd4c6c678a6fdb9ac601127b9d	119908	1001	75195	1	[u'range_factorized', u'gzipped']	956418	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	52.1971245319	18072130	quant	bootstrap	20547461	Wed Oct 13 13:04:23 2021	0	100	4096	0	8e80e018d06fd8ea5a1f9225c199d120da11db7d174bf3e3ae43ee2d31597587	87.9531052523	[]	True	Wed Oct 13 14:03:14 2021	False	[u'ISR']	256.084103552	[825, 1621, 2352, 3363, 53234430]
