Sample	silva-arc-16s-id95_count	silva-euk-28s-id98_pct	non_rRNA	silva-euk-18s-id95_count	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	rRNA_pct	silva-arc-23s-id98_count	rfam-5s-database-id98_pct	silva-arc-16s-id95_pct	rfam-5s-database-id98_count	non_rRNA_pct	silva-euk-28s-id98_count	rfam-5.8s-database-id98_pct	rRNA	silva-bac-16s-id90_pct	silva-bac-23s-id98_pct	silva-bac-16s-id90_count	total	rfam-5.8s-database-id98_count	silva-arc-23s-id98_pct
P_ROT16_1	17287.8368	0.19	42995355	69151.3472	8643.9184	0.16	0.518831829787	8643.9184	0.0	0.04	0.0	99.4811681702	82117.2248	0.0	224237	0.09	0.02	38897.6328	43219592	0.0	0.02
P_ROT17_1	21471.017	0.2	42707931	77295.6612	8588.4068	0.18	0.545160483083	8588.4068	0.0	0.05	0.0	99.4548395169	85884.068	0.0	234103	0.07	0.02	30059.4238	42942034	0.0	0.02
P_ROT18_1	17548.3808	0.18	43668439	65806.428	8774.1904	0.15	0.461610680343	4387.0952	0.0	0.04	0.0	99.5383893197	78967.7136	0.0	202513	0.06	0.02	26322.5712	43870952	0.0	0.01
P_ROT19_1	13072.8324	0.17	43391894	52291.3296	8715.2216	0.12	0.422740828529	8715.2216	0.0	0.03	0.0	99.5772591715	74079.3836	0.0	184214	0.07	0.02	30503.2756	43576108	0.0	0.02
P_ROT20_1	18145.8408	0.19	45137556	68046.903	9072.9204	0.15	0.500491550659	9072.9204	0.0	0.04	0.0	99.4995084493	86192.7438	0.0	227046	0.07	0.02	31755.2214	45364602	0.0	0.02
P_STA11_1	12183.5148	0.17	40419996	56856.4024	8122.3432	0.14	0.472080519818	8122.3432	0.0	0.03	0.0	99.5279194802	69039.9172	0.0	191720	0.09	0.02	36550.5444	40611716	0.0	0.02
P_STA12_1	13410.6384	0.18	44495745	53642.5536	8940.4256	0.12	0.461684956027	8940.4256	0.0	0.03	0.0	99.538315044	80463.8304	0.0	206383	0.09	0.02	40231.9152	44702128	0.0	0.02
P_STA13_1	17440.2712	0.17	43404055	56680.8814	8720.1356	0.13	0.450963170802	8720.1356	0.0	0.04	0.0	99.5490368292	74121.1526	0.0	196623	0.08	0.02	34880.5424	43600678	0.0	0.02
P_STA14_1	12985.905	0.18	43076738	60600.89	8657.27	0.14	0.484245033365	8657.27	0.0	0.03	0.0	99.5157549666	77915.43	0.0	209612	0.09	0.02	38957.715	43286350	0.0	0.02
P_STA15_1	18121.2272	0.19	45078210	67954.602	9060.6136	0.15	0.496341660569	9060.6136	0.0	0.04	0.0	99.5036583394	86075.8292	0.0	224858	0.08	0.02	36242.4544	45303068	0.0	0.02
X_ROT10_1	13538.9598	0.17	44923229	54155.8392	9025.9732	0.12	0.457871955569	13538.9598	0.0	0.03	0.0	99.5421280444	76720.7722	0.0	206637	0.09	0.02	40616.8794	45129866	0.0	0.03
X_ROT6_1	8613.8136	0.16	42890487	47375.9748	4306.9068	0.11	0.414638645071	8613.8136	0.0	0.02	0.0	99.5853613549	68910.5088	0.0	178581	0.08	0.01	34455.2544	43069068	0.0	0.02
X_ROT7_1	12823.83	0.16	42560479	51295.32	4274.61	0.12	0.434240784539	8549.22	0.0	0.03	0.0	99.5657592155	68393.76	0.0	185621	0.09	0.01	38471.49	42746100	0.0	0.02
X_ROT8_1	43159.718	0.42	42579982	138111.0976	56107.6334	0.32	1.34323398499	125163.1822	0.0	0.1	0.0	98.656766015	181270.8156	0.0	579736	0.08	0.13	34527.7744	43159718	0.0	0.29
X_ROT9_1	13588.6542	0.17	45082680	58884.1682	9059.1028	0.13	0.469878761062	18118.2056	0.0	0.03	0.0	99.5301212389	77002.3738	0.0	212834	0.08	0.02	36236.4112	45295514	0.0	0.04
X_STA1_1	8741.1768	0.17	43522950	48076.4724	4370.5884	0.11	0.418556915586	8741.1768	0.0	0.02	0.0	99.5814430844	74300.0028	0.0	182934	0.08	0.01	34964.7072	43705884	0.0	0.02
X_STA2_1	13144.6482	0.18	43621913	48197.0434	8763.0988	0.11	0.441809465848	13144.6482	0.0	0.03	0.0	99.5581905342	78867.8892	0.0	193581	0.08	0.02	35052.3952	43815494	0.0	0.03
X_STA3_1	12836.0376	0.17	42588594	51344.1504	8557.3584	0.12	0.463222388816	8557.3584	0.0	0.03	0.0	99.5367776112	72737.5464	0.0	198198	0.11	0.02	47065.4712	42786792	0.0	0.02
X_STA4_1	13588.0224	0.16	45101734	54352.0896	9058.6816	0.12	0.42318299387	9058.6816	0.0	0.03	0.0	99.5768170061	72469.4528	0.0	191674	0.07	0.02	31705.3856	45293408	0.0	0.02
X_STA5_1	8639.0264	0.16	43010438	47514.6452	4319.5132	0.11	0.427580589405	8639.0264	0.0	0.02	0.0	99.5724194106	69112.2112	0.0	184694	0.09	0.01	38875.6188	43195132	0.0	0.02
