Module	Section	Sample Name	Source
FastQC	all_sections	X_ROT6_sortmerna_trimmomatic_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_ROT6_sortmerna_trimmomatic_2_fastqc.zip
FastQC	all_sections	P_STA15_sortmerna_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/sortmerna/P_STA15_sortmerna_1_fastqc.zip
FastQC	all_sections	P_STA15_sortmerna_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/sortmerna/P_STA15_sortmerna_2_fastqc.zip
FastQC	all_sections	X_ROT6_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/raw/X_ROT6_1_fastqc.zip
FastQC	all_sections	X_ROT6_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/raw/X_ROT6_2_fastqc.zip
FastQC	all_sections	X_ROT6_sortmerna_trimmomatic_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_ROT6_sortmerna_trimmomatic_1_fastqc.zip
FastQC	all_sections	X_STA5_sortmerna_trimmomatic_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_STA5_sortmerna_trimmomatic_2_fastqc.zip
FastQC	all_sections	X_STA5_sortmerna_trimmomatic_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_STA5_sortmerna_trimmomatic_1_fastqc.zip
FastQC	all_sections	X_STA4_sortmerna_trimmomatic_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_STA4_sortmerna_trimmomatic_2_fastqc.zip
FastQC	all_sections	X_STA4_sortmerna_trimmomatic_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_STA4_sortmerna_trimmomatic_1_fastqc.zip
FastQC	all_sections	P_STA11_sortmerna_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/sortmerna/P_STA11_sortmerna_1_fastqc.zip
FastQC	all_sections	P_STA12_2	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/raw/P_STA12_2_fastqc.zip
FastQC	all_sections	X_STA1_sortmerna_trimmomatic_1	/mnt/picea/home/evanzalen/Git/FlexWood/fastqc/trimmomatic/X_STA1_sortmerna_trimmomatic_1_fastqc.zip
