Sample	surviving	surviving_pct	reverse_only_surviving_pct	forward_only_surviving	dropped	dropped_pct	forward_only_surviving_pct	input_read_pairs	reverse_only_surviving
P_ROT16_sortmerna_1	20583007.0	95.95	0.9	598108.0	78177.0	0.36	2.79	21451954.0	192662.0
P_ROT17_sortmerna_1	20482308.0	96.12	0.86	562893.0	80624.0	0.38	2.64	21308896.0	183071.0
P_ROT18_sortmerna_1	20984127.0	96.3	0.91	522359.0	84156.0	0.39	2.4	21789672.0	199030.0
P_ROT19_sortmerna_1	20887068.0	96.47	0.85	503641.0	75568.0	0.35	2.33	21650790.0	184513.0
P_ROT20_sortmerna_1	21763940.0	96.64	0.93	452820.0	92268.0	0.41	2.01	22519494.0	210466.0
P_STA11_sortmerna_1	19417210.0	96.27	0.98	471220.0	84387.0	0.42	2.34	20169968.0	197151.0
P_STA12_sortmerna_1	21442574.0	96.58	0.85	476450.0	95515.0	0.43	2.15	22202351.0	187812.0
P_STA13_sortmerna_1	20927897.0	96.63	0.84	465021.0	83078.0	0.38	2.15	21658046.0	182050.0
P_STA14_sortmerna_1	20733436.0	96.46	0.87	484717.0	89127.0	0.41	2.26	21493786.0	186506.0
P_STA15_sortmerna_1	21704460.0	96.49	0.89	503521.0	85811.0	0.38	2.24	22493428.0	199636.0
X_ROT10_sortmerna_1	21653036.0	96.57	0.96	461180.0	92154.0	0.41	2.06	22421447.0	215077.0
X_ROT6_sortmerna_1	20640074.0	96.41	0.9	496539.0	78185.0	0.37	2.32	21407609.0	192811.0
X_ROT7_sortmerna_1	20547461.0	96.73	0.87	431806.0	78029.0	0.37	2.03	21241356.0	184060.0
X_ROT8_sortmerna_1	20616190.0	97.01	0.93	359425.0	76369.0	0.36	1.69	21250649.0	198665.0
X_ROT9_sortmerna_1	21685369.0	96.37	0.9	519031.0	94109.0	0.42	2.31	22501486.0	202977.0
X_STA1_sortmerna_1	21059114.0	96.96	0.85	390593.0	84355.0	0.39	1.8	21718915.0	184853.0
X_STA2_sortmerna_1	21063797.0	96.76	0.93	415676.0	87482.0	0.4	1.91	21768871.0	201916.0
X_STA3_sortmerna_1	20493274.0	96.42	0.84	490202.0	91960.0	0.43	2.31	21253922.0	178486.0
X_STA4_sortmerna_1	21773496.0	96.72	0.86	459187.0	83596.0	0.37	2.04	22510824.0	194545.0
X_STA5_sortmerna_1	20742773.0	96.63	0.85	465073.0	74901.0	0.35	2.17	21465676.0	182929.0
