sampleID	Tissue	Flexure	TW	Name	Filenames
P_ROT16	Phloem	T89_ROT	yes	P_R327	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_ROT16_sortmerna_trimmomatic/quant.sf
P_ROT17	Phloem	T89_ROT	yes	P_R301	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_ROT17_sortmerna_trimmomatic/quant.sf
P_ROT18	Phloem	T89_ROT	no	P_R93	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_ROT18_sortmerna_trimmomatic/quant.sf
P_ROT19	Phloem	T89_ROT	yes	P_R275	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_ROT19_sortmerna_trimmomatic/quant.sf
P_ROT20	Phloem	T89_ROT	no	P_R249	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_ROT20_sortmerna_trimmomatic/quant.sf
P_STA11	Phloem	T89_STA	yes	P_S131	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_STA11_sortmerna_trimmomatic/quant.sf
P_STA12	Phloem	T89_STA	no	P_S235	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_STA12_sortmerna_trimmomatic/quant.sf
P_STA13	Phloem	T89_STA	yes	P_S339	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_STA13_sortmerna_trimmomatic/quant.sf
P_STA14	Phloem	T89_STA	no	P_S105	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_STA14_sortmerna_trimmomatic/quant.sf
P_STA15	Phloem	T89_STA	no	P_S287	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/P_STA15_sortmerna_trimmomatic/quant.sf
X_ROT10	Xylem	T89_ROT	no	X_R249	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_ROT10_sortmerna_trimmomatic/quant.sf
X_ROT6	Xylem	T89_ROT	yes	X_R327	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_ROT6_sortmerna_trimmomatic/quant.sf
X_ROT7	Xylem	T89_ROT	yes	X_R301	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_ROT7_sortmerna_trimmomatic/quant.sf
X_ROT8	Xylem	T89_ROT	no	X_R93	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_ROT8_sortmerna_trimmomatic/quant.sf
X_ROT9	Xylem	T89_ROT	yes	X_R275	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_ROT9_sortmerna_trimmomatic/quant.sf
X_STA1	Xylem	T89_STA	yes	X_S131	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_STA1_sortmerna_trimmomatic/quant.sf
X_STA2	Xylem	T89_STA	no	X_S235	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_STA2_sortmerna_trimmomatic/quant.sf
X_STA3	Xylem	T89_STA	yes	X_S339	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_STA3_sortmerna_trimmomatic/quant.sf
X_STA4	Xylem	T89_STA	no	X_S105	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_STA4_sortmerna_trimmomatic/quant.sf
X_STA5	Xylem	T89_STA	no	X_S287	/mnt/picea/home/evanzalen/Git/FlexWood/data/salmon/X_STA5_sortmerna_trimmomatic/quant.sf
