ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Annotation GO Count,Annotation GO ID,Annotation GO Term,Annotation GO Category,Enzyme Code,Enzyme Name,InterPro Accession,InterPro Type,InterPro Name,InterPro Signatures
Potra2n10c20103,975.2790253612915,-0.5204936470644274,0.13153019862088552,-3.9572178292276887,7.582777791329521e-5,0.007376107634610817,11,GO:0000287|GO:0004553|GO:0004743|GO:0005524|GO:0005737|GO:0006094|GO:0006096|GO:0006144|GO:0015976|GO:0016301|GO:0030955,"magnesium ion binding|hydrolase activity, hydrolyzing O-glycosyl compounds|pyruvate kinase activity|ATP binding|cytoplasm|gluconeogenesis|glycolytic process|purine nucleobase metabolic process|carbon utilization|kinase activity|potassium ion binding",Molecular Function|Molecular Function|Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process|Biological Process|Biological Process|Molecular Function|Molecular Function,EC:2.7.1.40,Pyruvate kinase,IPR001697|IPR015793|IPR040442|IPR036918|IPR015795|IPR040442|IPR040442|noIPR|IPR001697|IPR001697|IPR011037|IPR015813|IPR036918,FAMILY|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|FAMILY|FAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY,"Pyruvate kinase|Pyruvate kinase, barrel|Pyruvate kinase-like domain superfamily|Pyruvate kinase, C-terminal domain superfamily|Pyruvate kinase, C-terminal|Pyruvate kinase-like domain superfamily|Pyruvate kinase-like domain superfamily|Pyruvate kinase-like domain superfamily|Pyruvate kinase|Pyruvate kinase|Pyruvate kinase-like, insert domain superfamily|Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily|Pyruvate kinase, C-terminal domain superfamily",PR01050 (PRINTS)|PF00224 (PFAM)|G3DSA:3.20.20.60 (GENE3D)|G3DSA:3.40.1380.20 (GENE3D)|PF02887 (PFAM)|G3DSA:3.20.20.60 (GENE3D)|G3DSA:3.20.20.60 (GENE3D)|PTHR11817:SF79 (PANTHER)|PTHR11817 (PANTHER)|cd00288 (CDD)|SSF50800 (SUPERFAMILY)|SSF51621 (SUPERFAMILY)|SSF52935 (SUPERFAMILY)
Potra2n10c20423,141.61024984088223,0.8679694149056276,0.2068341984514146,4.19645020699763,2.71131036052883e-5,0.0037721787767625936,4,GO:0005634|GO:0008270|GO:0043565|GO:0045893,"nucleus|zinc ion binding|sequence-specific DNA binding|positive regulation of transcription, DNA-templated",Cellular Component|Molecular Function|Molecular Function|Biological Process,NA,NA,IPR000679|IPR016679|IPR013088|noIPR|noIPR|IPR000679|IPR000679|IPR000679|noIPR,DOMAIN|FAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN,"Zinc finger, GATA-type|Transcription factor, GATA, plant|Zinc finger, NHR/GATA-type|Zinc finger, NHR/GATA-type|Zinc finger, NHR/GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type",PF00320 (PFAM)|PIRSF016992 (PIRSF)|G3DSA:3.30.50.10 (GENE3D)|PTHR45658:SF51 (PANTHER)|PTHR45658 (PANTHER)|PS00344 (PROSITE_PATTERNS)|PS50114 (PROSITE_PROFILES)|cd00202 (CDD)|SSF57716 (SUPERFAMILY)
Potra2n10c20444,1911.4062242744174,-0.5340492644046634,0.13906224180040397,-3.8403613913486616,1.2285332221770653e-4,0.009987252429698262,8,GO:0009416|GO:0009522|GO:0009523|GO:0009535|GO:0009768|GO:0016021|GO:0016168|GO:0018298,"response to light stimulus|photosystem I|photosystem II|chloroplast thylakoid membrane|photosynthesis, light harvesting in photosystem I|integral component of membrane|chlorophyll binding|protein-chromophore linkage",Biological Process|Cellular Component|Cellular Component|Cellular Component|Biological Process|Cellular Component|Molecular Function|Biological Process,NA,NA,IPR022796|IPR023329|IPR001344|noIPR|IPR001344|noIPR|noIPR,FAMILY|HOMOLOGOUS_SUPERFAMILY|FAMILY|FAMILY|FAMILY|FAMILY|FAMILY,"Chlorophyll A-B binding protein|Chlorophyll a/b binding domain superfamily|Chlorophyll A-B binding protein, plant|Chlorophyll A-B binding protein, plant|Chlorophyll A-B binding protein, plant|Chlorophyll A-B binding protein, plant|Chlorophyll A-B binding protein, plant",PF00504 (PFAM)|G3DSA:1.10.3460.10 (GENE3D)|PTHR21649 (PANTHER)|PTHR21649:SF89 (PANTHER)|PTHR21649 (PANTHER)|PTHR21649:SF89 (PANTHER)|SSF103511 (SUPERFAMILY)
Potra2n10c20538,465.47565730068067,0.7069409939780062,0.17042249358082479,4.148167176316615,3.351476339918878e-5,0.00428864842756286,NA,NA,NA,NA,NA,NA,IPR007750|noIPR|IPR007750,FAMILY|FAMILY|FAMILY,Protein of unknown function DUF674|Protein of unknown function DUF674|Protein of unknown function DUF674,PF05056 (PFAM)|PTHR33103:SF21 (PANTHER)|PTHR33103 (PANTHER)
Potra2n10c20644,568.6218962187703,-0.9880512565713165,0.2272385392563193,-4.348079598667107,1.373347641663502e-5,0.0025194244789101235,5,GO:0005524|GO:0009570|GO:0009579|GO:0043085|GO:0046863,"ATP binding|chloroplast stroma|thylakoid|positive regulation of catalytic activity|ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity",Molecular Function|Cellular Component|Cellular Component|Biological Process|Molecular Function,NA,NA,noIPR|noIPR|IPR003959|noIPR|noIPR|IPR027417,HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY,"Homeobox-like domain superfamily|Homeobox-like domain superfamily|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|P-loop containing nucleoside triphosphate hydrolase",G3DSA:1.10.8.1070 (GENE3D)|G3DSA:3.40.50.300 (GENE3D)|PF00004 (PFAM)|PTHR32429 (PANTHER)|PTHR32429:SF15 (PANTHER)|SSF52540 (SUPERFAMILY)
Potra2n10c20829,605.6827696287567,0.7023431611133383,0.17512777979864447,4.010461172527093,6.060026578801324e-5,0.006442274409156484,5,GO:0003735|GO:0005840|GO:0006412|GO:0016021|GO:0042254,structural constituent of ribosome|ribosome|translation|integral component of membrane|ribosome biogenesis,Molecular Function|Cellular Component|Biological Process|Cellular Component|Biological Process,NA,NA,IPR002675|IPR038464|IPR002675|noIPR|noIPR,FAMILY|HOMOLOGOUS_SUPERFAMILY|FAMILY|FAMILY|FAMILY,Ribosomal protein L38e|Ribosomal protein L38e superfamily|Ribosomal protein L38e|Ribosomal protein L38e|Ribosomal protein L38e,PF01781 (PFAM)|G3DSA:3.30.720.90 (GENE3D)|PTHR10965 (PANTHER)|PTHR10965:SF14 (PANTHER)|PD010361 (PRODOM)
Potra2n10c21469,129.5827460877054,-1.1279360618334715,0.2525663040823914,-4.4659008094188195,7.973254725696358e-6,0.001739848110144058,1,GO:0006952,defense response,Biological Process,NA,NA,IPR023393|IPR000916|noIPR|noIPR|noIPR|noIPR,HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN,START-like domain superfamily|Bet v I/Major latex protein|Bet v I/Major latex protein|Bet v I/Major latex protein|Bet v I/Major latex protein|Bet v I/Major latex protein,G3DSA:3.30.530.20 (GENE3D)|PF00407 (PFAM)|PTHR31907:SF11 (PANTHER)|PTHR31907 (PANTHER)|cd07816 (CDD)|SSF55961 (SUPERFAMILY)
Potra2n10c21660,142.96712089006428,-0.7919739815142581,0.17788327327424264,-4.452211649452121,8.499033050410659e-6,0.0018163397436599274,10,GO:0001676|GO:0003989|GO:0003996|GO:0004467|GO:0005777|GO:0006090|GO:0006633|GO:0009317|GO:0010193|GO:0102391,long-chain fatty acid metabolic process|acetyl-CoA carboxylase activity|acyl-CoA ligase activity|long-chain fatty acid-CoA ligase activity|peroxisome|pyruvate metabolic process|fatty acid biosynthetic process|acetyl-CoA carboxylase complex|response to ozone|decanoate-CoA ligase activity,Biological Process|Molecular Function|Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process|Cellular Component|Biological Process|Molecular Function,EC:6.2.1.3|EC:6.4.1.2,Long-chain-fatty-acid--CoA ligase|Acetyl-CoA carboxylase,IPR042099|IPR025110|IPR000873|IPR042099|noIPR|noIPR|IPR020845|noIPR|noIPR,HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|CONSERVED_SITE|CONSERVED_SITE|CONSERVED_SITE,"AMP-dependent synthetase-like superfamily|AMP-binding enzyme, C-terminal domain|AMP-dependent synthetase/ligase|AMP-dependent synthetase-like superfamily|AMP-dependent synthetase-like superfamily|AMP-dependent synthetase-like superfamily|AMP-binding, conserved site|AMP-binding, conserved site|AMP-binding, conserved site",G3DSA:3.40.50.12780 (GENE3D)|PF13193 (PFAM)|PF00501 (PFAM)|G3DSA:3.40.50.12780 (GENE3D)|PTHR43272 (PANTHER)|PTHR43272:SF49 (PANTHER)|PS00455 (PROSITE_PATTERNS)|cd05927 (CDD)|SSF56801 (SUPERFAMILY)
Potra2n10c21670,465.2913365814105,-0.8029773433996908,0.18665510055813717,-4.301930892853307,1.6931612447786297e-5,0.002785653381290555,3,GO:0009535|GO:0009538|GO:0015979,chloroplast thylakoid membrane|photosystem I reaction center|photosynthesis,Cellular Component|Cellular Component|Biological Process,NA,NA,noIPR|IPR003685|noIPR|IPR003685|noIPR|IPR036579,FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|HOMOLOGOUS_SUPERFAMILY,"Protein time for coffee|Photosystem I PsaD|Photosystem I PsaD|Photosystem I PsaD|Photosystem I PsaD|Photosystem I, reaction centre subunit PsaD superfamily",G3DSA:3.30.1470.10 (GENE3D)|PF02531 (PFAM)|mobidb-lite (MOBIDB_LITE)|PTHR31982 (PANTHER)|PTHR31982:SF7 (PANTHER)|SSF64234 (SUPERFAMILY)
Potra2n10c21744,2092.534843876846,-0.5383607199777483,0.13931668051065976,-3.864294770765485,1.1141061601282039e-4,0.009504288353686283,NA,NA,NA,NA,NA,NA,IPR006502|IPR006502|noIPR|noIPR|noIPR|noIPR|IPR006502,FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|FAMILY,Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like|Protein of unknown function PDDEXK-like,TIGR01615 (TIGRFAM)|PF04720 (PFAM)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|PTHR31579:SF19 (PANTHER)|PTHR31579 (PANTHER)
