ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Annotation GO Count,Annotation GO ID,Annotation GO Term,Annotation GO Category,Enzyme Code,Enzyme Name,InterPro Accession,InterPro Type,InterPro Name,InterPro Signatures
Potra2n1022s36932,64.17671800737509,9.243133615367656,0.9677695588078934,9.550965445486243,1.2849320507155149e-21,9.487509951799791e-18,6,GO:0006527|GO:0006560|GO:0008295|GO:0008792|GO:0009409|GO:0033388,arginine catabolic process|proline metabolic process|spermidine biosynthetic process|arginine decarboxylase activity|response to cold|putrescine biosynthetic process from arginine,Biological Process|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process,EC:4.1.1.19,Arginine decarboxylase,IPR002985|IPR000183|IPR002985|IPR002985|IPR009006|noIPR|IPR029066|IPR022644|noIPR|IPR002985|IPR022657|IPR022653|IPR002985|IPR029066,FAMILY|FAMILY|FAMILY|FAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|FAMILY|CONSERVED_SITE|BINDING_SITE|FAMILY|HOMOLOGOUS_SUPERFAMILY,"Arginine decarboxylase|Ornithine/DAP/Arg decarboxylase|Arginine decarboxylase|Arginine decarboxylase|Alanine racemase/group IV decarboxylase, C-terminal|Alanine racemase/group IV decarboxylase, C-terminal|PLP-binding barrel|Orn/DAP/Arg decarboxylase 2, N-terminal|Orn/DAP/Arg decarboxylase 2, N-terminal|Arginine decarboxylase|Orn/DAP/Arg decarboxylase 2, conserved site|Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site|Arginine decarboxylase|PLP-binding barrel",PR01180 (PRINTS)|PR01179 (PRINTS)|TIGR01273 (TIGRFAM)|PIRSF001336 (PIRSF)|G3DSA:2.40.37.10 (GENE3D)|G3DSA:1.20.58.930 (GENE3D)|G3DSA:3.20.20.10 (GENE3D)|PF02784 (PFAM)|PTHR43295:SF3 (PANTHER)|PTHR43295 (PANTHER)|PS00879 (PROSITE_PATTERNS)|PS00878 (PROSITE_PATTERNS)|cd06830 (CDD)|SSF51419 (SUPERFAMILY)
Potra2n10c20358,358.5218645262297,0.5819091260496634,0.12758647799063072,4.560899675374657,5.093491392136207e-6,4.884239299879183e-4,5,GO:0003924|GO:0005525|GO:0005794|GO:0006886|GO:0032482,GTPase activity|GTP binding|Golgi apparatus|intracellular protein transport|Rab protein signal transduction,Molecular Function|Molecular Function|Cellular Component|Biological Process|Biological Process,EC:3.6.1.15,Nucleoside-triphosphate phosphatase,noIPR|noIPR|IPR001806|IPR005225|noIPR|noIPR|noIPR|noIPR|IPR027417,HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|FAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY,P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|Small GTPase|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|P-loop containing nucleoside triphosphate hydrolase,PR00449 (PRINTS)|G3DSA:3.40.50.300 (GENE3D)|PF00071 (PFAM)|TIGR00231 (TIGRFAM)|PTHR24073:SF643 (PANTHER)|PTHR24073 (PANTHER)|PS51419 (PROSITE_PROFILES)|cd01863 (CDD)|SSF52540 (SUPERFAMILY)
Potra2n10c20423,1270.4735507157666,0.5911716647159937,0.13216461967140522,4.472994861906284,7.713163152682278e-6,6.596690231469697e-4,4,GO:0005634|GO:0008270|GO:0043565|GO:0045893,"nucleus|zinc ion binding|sequence-specific DNA binding|positive regulation of transcription, DNA-templated",Cellular Component|Molecular Function|Molecular Function|Biological Process,NA,NA,IPR000679|IPR016679|IPR013088|noIPR|noIPR|IPR000679|IPR000679|IPR000679|noIPR,DOMAIN|FAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN,"Zinc finger, GATA-type|Transcription factor, GATA, plant|Zinc finger, NHR/GATA-type|Zinc finger, NHR/GATA-type|Zinc finger, NHR/GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type|Zinc finger, GATA-type",PF00320 (PFAM)|PIRSF016992 (PIRSF)|G3DSA:3.30.50.10 (GENE3D)|PTHR45658:SF51 (PANTHER)|PTHR45658 (PANTHER)|PS00344 (PROSITE_PATTERNS)|PS50114 (PROSITE_PROFILES)|cd00202 (CDD)|SSF57716 (SUPERFAMILY)
Potra2n10c20800,338.50892105385725,0.5593376386510905,0.13051913367952292,4.285483843499068,1.8234190015738843e-5,0.0012344474507083093,3,GO:0016787|GO:0097159|GO:1901363,hydrolase activity|organic cyclic compound binding|heterocyclic compound binding,Molecular Function|Molecular Function|Molecular Function,NA,NA,noIPR|IPR025313|IPR001650|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417|IPR027417,HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY,"Transcription factor, MADS-box superfamily|Domain of unknown function DUF4217|Helicase, C-terminal|Helicase, C-terminal|Helicase, C-terminal|Helicase, C-terminal|Helicase, C-terminal|Helicase, C-terminal|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase",G3DSA:3.40.50.300 (GENE3D)|PF13959 (PFAM)|PF00271 (PFAM)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|PTHR24031:SF2 (PANTHER)|PTHR24031 (PANTHER)|cd18787 (CDD)|SSF52540 (SUPERFAMILY)|SSF52540 (SUPERFAMILY)
Potra2n10c20801,7942.405368926163,0.5320950182902033,0.140122938950002,3.797344119937871,1.462546898057863e-4,0.0055664735977456565,5,GO:0005794|GO:0009834|GO:0016021|GO:1990538|GO:1990937,Golgi apparatus|plant-type secondary cell wall biogenesis|integral component of membrane|xylan O-acetyltransferase activity|xylan acetylation,Cellular Component|Biological Process|Cellular Component|Molecular Function|Biological Process,NA,NA,IPR026057|IPR025846|noIPR|IPR029962,FAMILY|DOMAIN|DOMAIN|FAMILY,PC-Esterase|PMR5 N-terminal domain|PMR5 N-terminal domain|Trichome birefringence-like family,PF13839 (PFAM)|PF14416 (PFAM)|PTHR32285:SF62 (PANTHER)|PTHR32285 (PANTHER)
Potra2n10c21027,3150.388369324321,0.5264695485113826,0.08504717978744189,6.190323416098995,6.004089555527504e-10,4.2902125078867655e-7,6,GO:0005768|GO:0005802|GO:0016021|GO:0032259|GO:0052729|GO:0052730,endosome|trans-Golgi network|integral component of membrane|methylation|dimethylglycine N-methyltransferase activity|sarcosine N-methyltransferase activity,Cellular Component|Cellular Component|Cellular Component|Biological Process|Molecular Function|Molecular Function,EC:2.1.1.161|EC:2.1.1.162|EC:2.1.1.156|EC:2.1.1.157,Dimethylglycine N-methyltransferase|Glycine/sarcosine/dimethylglycine N-methyltransferase|Glycine/sarcosine N-methyltransferase|Sarcosine/dimethylglycine N-methyltransferase,IPR004159|noIPR|noIPR|IPR004159|noIPR|IPR004159|noIPR|IPR029063|IPR029063,FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|FAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY,Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|Putative S-adenosyl-L-methionine-dependent methyltransferase|S-adenosyl-L-methionine-dependent methyltransferase|S-adenosyl-L-methionine-dependent methyltransferase,PF03141 (PFAM)|G3DSA:3.40.50.150 (GENE3D)|PTHR10108:SF1083 (PANTHER)|PTHR10108 (PANTHER)|PTHR10108:SF1083 (PANTHER)|PTHR10108 (PANTHER)|cd02440 (CDD)|SSF53335 (SUPERFAMILY)|SSF53335 (SUPERFAMILY)
Potra2n10c21137,252.2303943432704,-0.603514258296572,0.14641179664814993,-4.1220330063082935,3.7554337590394556e-5,0.0020240051872623594,13,GO:0000155|GO:0000160|GO:0005524|GO:0005634|GO:0006355|GO:0009365|GO:0009584|GO:0009585|GO:0009881|GO:0017006|GO:0018298|GO:0023014|GO:0042803,"phosphorelay sensor kinase activity|phosphorelay signal transduction system|ATP binding|nucleus|regulation of transcription, DNA-templated|protein histidine kinase complex|detection of visible light|red, far-red light phototransduction|photoreceptor activity|protein-tetrapyrrole linkage|protein-chromophore linkage|signal transduction by protein phosphorylation|protein homodimerization activity",Molecular Function|Biological Process|Molecular Function|Cellular Component|Biological Process|Cellular Component|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process|Biological Process|Molecular Function,EC:2.7.13.3,Histidine kinase,IPR001294|noIPR|IPR013515|IPR003661|noIPR|IPR003594|IPR012129|IPR013767|noIPR|IPR036890|IPR013654|noIPR|noIPR|IPR003018|IPR000014|IPR029016|noIPR|noIPR|noIPR|IPR013516|IPR005467|IPR000014|IPR000014|IPR016132|noIPR|IPR003661|IPR000014|IPR000014|IPR036890|IPR036097|noIPR|noIPR|IPR035965|IPR035965|IPR035965,FAMILY|FAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|FAMILY|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|BINDING_SITE|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY,"Phytochrome|Phytochrome|Phytochrome, central region|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain|Histidine kinase/HSP90-like ATPase|Phytochrome A/B/C/D/E|PAS fold|PAS fold|Histidine kinase/HSP90-like ATPase superfamily|PAS fold-2|PAS fold-2|PAS fold-2|GAF domain|PAS domain|GAF-like domain superfamily|GAF-like domain superfamily|GAF-like domain superfamily|GAF-like domain superfamily|Phytochrome chromophore binding site|Histidine kinase domain|PAS domain|PAS domain|Phytochrome chromophore attachment domain|Phytochrome chromophore attachment domain|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain|PAS domain|PAS domain|Histidine kinase/HSP90-like ATPase superfamily|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily|Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily|PAS domain superfamily|PAS domain superfamily|PAS domain superfamily",PR01033 (PRINTS)|G3DSA:3.30.450.20 (GENE3D)|PF00360 (PFAM)|PF00512 (PFAM)|G3DSA:1.10.287.130 (GENE3D)|PF02518 (PFAM)|PIRSF000084 (PIRSF)|PF00989 (PFAM)|G3DSA:3.30.450.20 (GENE3D)|G3DSA:3.30.565.10 (GENE3D)|PF08446 (PFAM)|G3DSA:3.30.450.270 (GENE3D)|G3DSA:3.30.450.20 (GENE3D)|PF01590 (PFAM)|TIGR00229 (TIGRFAM)|G3DSA:3.30.450.40 (GENE3D)|mobidb-lite (MOBIDB_LITE)|PTHR43719:SF12 (PANTHER)|PTHR43719 (PANTHER)|PS00245 (PROSITE_PATTERNS)|PS50109 (PROSITE_PROFILES)|PS50112 (PROSITE_PROFILES)|PS50112 (PROSITE_PROFILES)|PS50046 (PROSITE_PROFILES)|cd16932 (CDD)|cd00082 (CDD)|cd00130 (CDD)|cd00130 (CDD)|SSF55874 (SUPERFAMILY)|SSF47384 (SUPERFAMILY)|SSF55781 (SUPERFAMILY)|SSF55781 (SUPERFAMILY)|SSF55785 (SUPERFAMILY)|SSF55785 (SUPERFAMILY)|SSF55785 (SUPERFAMILY)
Potra2n10c21363,807.6609623868534,1.0190570677187958,0.14631191342827837,6.964963028922004,3.2849000490626217e-12,5.597216998983549e-9,2,GO:0008375|GO:0016021,acetylglucosaminyltransferase activity|integral component of membrane,Molecular Function|Cellular Component,NA,NA,IPR003406|noIPR|noIPR,FAMILY|FAMILY|FAMILY,"Glycosyl transferase, family 14|Glycosyl transferase, family 14|Glycosyl transferase, family 14",PF02485 (PFAM)|PTHR31042 (PANTHER)|PTHR31042:SF66 (PANTHER)
Potra2n10c21386,488.0593240452163,-0.5238820369062878,0.14341324056979124,-3.6529544610028077,2.5924022071968964e-4,0.008251284706876378,11,GO:0004601|GO:0005886|GO:0006687|GO:0006804|GO:0006979|GO:0008195|GO:0009395|GO:0016021|GO:0016311|GO:0046486|GO:0098869,peroxidase activity|plasma membrane|glycosphingolipid metabolic process|obsolete peroxidase reaction|response to oxidative stress|phosphatidate phosphatase activity|phospholipid catabolic process|integral component of membrane|dephosphorylation|glycerolipid metabolic process|cellular oxidant detoxification,Molecular Function|Cellular Component|Biological Process|Biological Process|Biological Process|Molecular Function|Biological Process|Cellular Component|Biological Process|Biological Process|Biological Process,EC:3.1.3.4|EC:1.11.1.7,Phosphatidate phosphatase|Peroxidase,noIPR|IPR000326|noIPR|noIPR|noIPR|noIPR|IPR036938,HOMOLOGOUS_SUPERFAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY,Endonuclease/exonuclease/phosphatase superfamily|Phosphatidic acid phosphatase type 2/haloperoxidase|Phosphatidic acid phosphatase type 2/haloperoxidase|Phosphatidic acid phosphatase type 2/haloperoxidase|Phosphatidic acid phosphatase type 2/haloperoxidase|Phosphatidic acid phosphatase type 2/haloperoxidase|Phosphatidic acid phosphatase type 2/haloperoxidase superfamily,G3DSA:1.20.144.10 (GENE3D)|PF01569 (PFAM)|mobidb-lite (MOBIDB_LITE)|PTHR10165 (PANTHER)|PTHR10165:SF162 (PANTHER)|cd03390 (CDD)|SSF48317 (SUPERFAMILY)
Potra2n10c21389,838.1372737404588,0.784637797285866,0.1730052255509015,4.535341604782974,5.751032560856364e-6,5.242433014630836e-4,1,GO:0046872,metal ion binding,Molecular Function,NA,NA,noIPR|IPR000571|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000571|IPR000571|IPR036855|IPR036855,FAMILY|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|DOMAIN|HOMOLOGOUS_SUPERFAMILY|HOMOLOGOUS_SUPERFAMILY,"Multi antimicrobial extrusion protein|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type|Zinc finger, CCCH-type superfamily|Zinc finger, CCCH-type superfamily",Coil (COILS)|PF00642 (PFAM)|G3DSA:4.10.1000.10 (GENE3D)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|mobidb-lite (MOBIDB_LITE)|PTHR12547 (PANTHER)|PTHR12547:SF126 (PANTHER)|PS50103 (PROSITE_PROFILES)|PS50103 (PROSITE_PROFILES)|SSF90229 (SUPERFAMILY)|SSF90229 (SUPERFAMILY)
